Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,14,BRANTA NEGRA,150,38,28/10/2015,26/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,14,BRANTA NEGRA,152,37,27/10/2016,25/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,14,BRANTA NEGRA,187,49,27/10/2017,25/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,14,BRANTA NEGRA,151,27,27/10/2018,25/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,14,BRANTA NEGRA,160,49,27/10/2019,25/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,14,BRANTA NEGRA,175,53,27/10/2020,25/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,14,BRANTA NEGRA,175,69,27/10/2021,25/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,14,BRANTA NEGRA,78,38,27/10/2022,25/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,15,CIERVO AXIS,27,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,15,CIERVO AXIS,22,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,15,CIERVO AXIS,22,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,15,CIERVO AXIS,17,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,15,CIERVO AXIS,2,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,15,CIERVO AXIS,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,15,CIERVO AXIS,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,15,CIERVO AXIS,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,16,CIERVO ROJO,15,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,16,CIERVO ROJO,13,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,16,CIERVO ROJO,9,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,16,CIERVO ROJO,11,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,16,CIERVO ROJO,1,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,16,CIERVO ROJO,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,16,CIERVO ROJO,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,16,CIERVO ROJO,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,17,COATI,17,0,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,17,COATI,17,0,25/11/2016,12/02/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,17,COATI,5,0,01/12/2017,04/02/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,17,COATI,13,1,01/12/2018,04/02/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,17,COATI,13,3,01/12/2019,04/02/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,17,COATI,18,5,01/12/2020,04/02/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,17,COATI,32,0,01/12/2021,04/02/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,17,COATI,32,0,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,3,2,25/09/2014,28/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,3,3,23/09/2015,26/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,1,01/09/2019,04/02/2020
